,Onshore_Offshore,Map_Sheet_Division,Map_Sheet,Block_Number,Province_Code,Province_Name,Municipality_ID,Municipality_Name,Postal_Code,Mining_Work_Code,Mining_Work_Name,Provided_X,Provided_Y,Coordinate_System,X_Rijksdriehoek,Y_Rijksdriehoek,X_TM5_ED50,Y_TM5_ED50,X_UTM31_ED50,Y_UTM31_ED50,Longitude_ED50,Latitude_ED50,X_UTM31_WGS84,Y_UTM31_WGS84,Longitude_WGS84,Latitude_WGS84,Start_Date,End_Date,Wellbore_Sidetrack,NITG_Number,UWI,Wellbore_Code,Wellbore_Name,Wellbore_Objective_Code,Wellbore_Objective,Wellbore_Result_Code,Wellbore_Result,Wellbore_Status,Wellbore_Shape,Kickoff_Depth_AH,Wellbore_Depth_AH,Wellbore_Depth_TVD,X_Deviation_UTM31_ED50,X_End_UTM31_ED50,Y_Deviation_UTM31_ED50,Y_End_UTM31_ED50,Reference_Level,Reference_Level_Height,Relative_To,Wellbore_Depth_AH_Relative_To_NAP_MSL,Wellbore_Depth_TVD_Relative_To_NAP_MSL,Current_Owner,Client,Drilling_Tower_Platform,Drilling_Company,Lithostratigraphy_Code,Chronostratigraphy_Code,Well_Name,Field_Code,Field_Name,Public_Access_From
176,ON,Topografische kaart 1:25.000,12D,,DR,Drenthe,54.0,Assen,9406.0,ASN,Assen,231532.88,558093.16,RD,231533,558093,602574,5874054,736748,5878787,6.52859811,53.00509297,736656,5878576,6.52734155,53.00434842,09-03-1982,12-06-1982,BRH,B12D0242,1068,ASN-01,ASSEN-01,EXP-HC,Exploratie koolwaterstof,GAS,Gas,Closed-in,Gedevieerd,,3750.0,3450.11,1236.17,737984.0,-302.65,5878484.0,Rotary Table,18.24,NAP,3731.76,3431.87,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,Nederlandse Aardolie Maatschappij B.V.,DCHL,,ASSEN-01,ASN,Assen,2003-01-01
177,ON,Topografische kaart 1:25.000,52C,,NB,Noord-Brabant,398.0,Asten,5721.0,,,183011.08,378593.0,RD,183011,378593,555027,5694343,694156,5697743,5.79092372,51.39659557,694064,5697534,5.78968568,51.39579486,14-06-1953,25-10-1953,BRH,B52C0142,1069,AST-01,ASTEN-01,EXP-HC,Exploratie koolwaterstof,DRY,Droog,Abandoned,Vertikaal,,2664.2,2663.09,-1.56,694154.0,47.95,5697791.0,Rotary Table,31.6,NAP,2632.6,2631.49,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,Nederlandse Aardolie Maatschappij B.V.,RBSHN,,,,,2003-01-01
178,ON,Topografische kaart 1:25.000,52C,,NB,Noord-Brabant,398.0,Asten,5725.0,,,182010.0,376840.0,RD,182010,376840,554035,5692586,693212,5695959,5.7764057,51.38088806,693120,5695749,5.77516766,51.38008674,24-11-1986,03-03-1987,BRH,B52C0234,2719,AST-GT-02,ASTEN-GT-02,EXP-W,Aardwarmte-exploratie,WTR,Water,Abandoned,Vertikaal,,1673.0,1673.0,0.0,693212.0,0.0,5695959.0,Rotary Table,30.34,NAP,1642.66,1642.66,TNO,TNO,,Smet DB,CKHM,,,,,2021-04-01
179,ON,Topografische kaart 1:25.000,52C,,NB,Noord-Brabant,398.0,Asten,5725.0,,,182010.0,376840.0,RD,182010,376840,554035,5692586,693212,5695959,5.7764057,51.38088806,693120,5695749,5.77516766,51.38008674,14-04-1988,21-04-1988,STR,B52C2153,5949,AST-GT-02-S1,ASTEN-GT-02-SIDETRACK1,EXP-W,Aardwarmte-exploratie,FLR,Technisch mislukt,Abandoned,Gedevieerd,780.0,1329.0,1322.06,77.35,693289.0,10.53,5695970.0,Rotary Table,30.34,NAP,1298.66,1291.72,TNO,TNO,,PREUSAG,NMVFV,,,,,2003-01-01
180,ON,Topografische kaart 1:25.000,52C,,NB,Noord-Brabant,398.0,Asten,5725.0,,,182010.0,376840.0,RD,182010,376840,554035,5692586,693212,5695959,5.7764057,51.38088806,693120,5695749,5.77516766,51.38008674,22-04-1988,04-05-1988,STR,B52C0278,3370,AST-GT-02-S2,ASTEN-GT-02-SIDETRACK2,EXP-W,Aardwarmte-exploratie,WTR,Water,Abandoned,Vertikaal,1087.0,1530.0,1522.28,98.55,693311.0,8.55,5695968.0,Rotary Table,30.34,NAP,1499.66,1491.94,TNO,TNO,,PREUSAG,NLFFD,,,,,2003-01-01
181,ON,Topografische kaart 1:25.000,,M09,,,,,,,,191134.0,612743.0,RD,191134,612743,561889,5928463,694535,5932062,5.93298708,53.50033994,694444,5931850,5.93170393,53.49960616,28-07-1975,04-11-1975,BRH,BM090197,1070,AWG-01,AMELAND WESTGAT-01,EVA-HC,Evaluatie koolwaterstof,GAS,Gas,Abandoned,Vertikaal,,3512.0,3510.11,-48.25,694487.0,10.32,5932072.0,Rotary Table,22.35,MSL,3489.65,3487.66,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,ROSLL,,,,,2003-01-01
182,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191720.58,611896.47,RD,191721,611896,562480,5927620,695150,5931235,5.94172715,53.49269436,695059,5931024,5.9404444,53.49196042,31-01-1984,12-02-1984,BRH,B02D0061,2451,AWG-101,AMELAND WESTGAT-101,EVA-HC,Evaluatie koolwaterstof,FLR,Technisch mislukt,Plugged back and sidetracked,Vertikaal,,645.0,644.87,-10.41,695140.0,-2.5,5931233.0,Rotary Table,30.0,MSL,615.0,614.77,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean I,Transocean Drilling Ltd.,N,,AMELAND WESTGAT-101,AWG,Ameland-Westgat,2003-01-01
183,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191720.58,611896.47,RD,191721,611896,562480,5927620,695150,5931235,5.94172715,53.49269436,695059,5931024,5.9404444,53.49196042,27-07-2007,09-08-2007,STR,B02D0160,5443,AWG-101-S1,AMELAND WESTGAT-101-SIDETRACK1,EVA-HC,Evaluatie koolwaterstof,FLR,Technisch mislukt,Plugged back and sidetracked,Gedevieerd,645.0,1506.0,1430.4,-222.53,694927.0,206.76,5931442.0,Rotary Table,52.58,MSL,1453.42,1377.72,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Monarch,GlobalSantaFe International Drilling Corporation,CKGR,,AMELAND WESTGAT-101,AWG,Ameland-Westgat,2012-08-09
184,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191720.58,611896.47,RD,191721,611896,562480,5927620,695150,5931235,5.94172715,53.49269436,695059,5931024,5.9404444,53.49196042,09-08-2007,04-10-2007,STR,B02D0161,5453,AWG-101-S2,AMELAND WESTGAT-101-SIDETRACK2,EVA-HC,Evaluatie koolwaterstof,GAS,Gas,Plugged back and sidetracked,Gedevieerd,1400.0,5202.0,3454.84,-2873.64,692276.0,1637.83,5932873.0,Rotary Table,52.58,MSL,5149.42,3402.16,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Monarch,GlobalSantaFe International Drilling Corporation,ROCLA,,AMELAND WESTGAT-101,AWG,Ameland-Westgat,2012-10-04
185,ON,Topografische kaart 1:25.000,02D,,,,,,,AWG-1W,Ameland-Westgat-1W,191720.58,611896.47,RD,191721,611896,562480,5927620,695150,5931235,5.94172715,53.49269436,695059,5931024,5.9404444,53.49196042,04-10-2007,15-10-2007,STR,B02D0162,5460,AWG-101-S3,AMELAND WESTGAT-101-SIDETRACK3,DEV-HC,Ontwikkeling koolwaterstof,FLR,Technisch mislukt,Abandoned,Gedevieerd,4937.0,4961.0,,,,,,Rotary Table,52.58,MSL,4908.42,,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Monarch,GlobalSantaFe International Drilling Corporation,ROSLU,,AMELAND WESTGAT-101,AWG,Ameland-Westgat,2012-10-15
