User_id,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,RFM_Score,Customer_Segment
AEA5X2W76STDCKVMFZ2WP7H7QFUA,324,1,199.0,102.0,668.5,1007.0,1777.5,High
AEA6472BE7C24EQJU3GKJNILU27A,406,1,120.0,188.5,668.5,1069.5,1926.5,High
AEACBJY3IOIQP26VSSYJH4IGFDXQ,359,1,1601.0,147.5,668.5,455.0,1271.0,Medium
AEAJEELFQNAUNC3VXCKYR6RQPCJQ,576,1,1199.0,381.0,668.5,558.0,1607.5,Medium
AEAKVP53B3LBTLJOVAQZUWEF6PYQ,1143,1,3249.0,947.0,668.5,269.0,1884.5,High
AEAMIR3CMSA32IDEINSJKHRNANTA,640,5,1392.0,467.0,8.5,515.0,990.5,Low
AEAOO4M764H7IQUU3CTHRMQBB4SQ,628,2,838.0,442.5,162.0,649.0,1253.5,Medium
AEATXOF4DX2VJQQBD2OLGA6WD2NA,1282,1,2199.0,1070.5,668.5,369.0,2108.0,High
AEB5LUPJLVMRBV2DQYWOLGIC2OXQ,634,1,2575.0,455.5,668.5,330.0,1454.0,Medium
AEBEUDL2VRUKJQ3R52K2SQR5JHJQ,519,1,4449.0,319.0,668.5,224.0,1211.5,Low
AEBHZQJ4R2TZ57GOCSTMIP53F4JQ,1148,1,2998.0,952.5,668.5,291.5,1912.5,High
AEBMIYML42WN2LWWZ4VIYP6IYPJA,1223,1,1399.0,1020.5,668.5,507.5,2196.5,VIP
AEBO7NWCNXKT4AESAN443HQH35FQ,1085,3,2249.0,901.5,57.0,362.5,1321.0,Medium
AEBWA5I4QFCA3P3OBEPMELBGN4GQ,256,5,14465.0,24.0,8.5,89.0,121.5,Low
AEC4ANXPPWN4RV5YG4JXEVPUXTHA,972,1,179.0,817.5,668.5,1032.5,2518.5,VIP
AEC5BUE7IZ7BJDWQBTHSZ5NTBMRA,761,1,6199.0,604.0,668.5,189.0,1461.5,Medium
AEC5PUIW4OSIDDQED7WLXG2S7TOQ,443,1,154.0,228.5,668.5,1046.5,1943.5,High
AECB6RAIS3NCSRCNMUWNZAQARNMA,546,1,1299.0,343.5,668.5,533.0,1545.0,Medium
AECCRE6ZTCPFGPVWDNY3IYYHCMOQ,446,2,13748.0,232.0,162.0,98.0,492.0,Low
AECGAMNNIMW5QOPOBXRYQAKMQGEA,334,1,18999.0,113.0,668.5,61.5,843.0,Low
AECJGIPE6J5ODC5P7L6WXI4XBNYQ,783,1,2799.0,632.0,668.5,303.0,1603.5,Medium
AECPFYFQVRUWC3KGNLJIOREFP5LQ,633,3,27747.0,452.5,57.0,37.0,546.5,Low
AECPQWPXGTZOXEYOPZXTZQ5ZG23Q,1228,1,5499.0,1025.0,668.5,204.5,1898.0,High
AECUDCUUNINQYLQOYTKNXGMYWIDQ,729,1,4995.0,571.5,668.5,213.0,1453.0,Medium
AECZ4IP3TBM4EUG52BZAOQV3EKIA,667,2,1168.0,501.0,162.0,570.0,1233.0,Medium
AED3V5KQXHYOPY3IL2CUQITIZFHQ,929,1,899.0,773.0,668.5,634.0,2075.5,High
AED54H4JXQGZT6GANH6PJN4SNU7Q,928,1,349.0,772.0,668.5,877.0,2317.5,VIP
AEDLLY6JXNCVYIW227SBCPVYHNUA,1266,2,3067.0,1059.5,162.0,284.0,1505.5,Medium
AEDLXBJM6UISEM4SXR6YUIY4KNCQ,1185,1,1999.0,991.5,668.5,390.0,2050.0,High
AEDMOT4JJAD7UCEFLEA76Y526CGQ,653,1,1969.0,479.5,668.5,402.0,1550.0,Medium
AEDPXMYWKEF2FFU4P7JUPNRVWU3A,304,1,999.0,84.5,668.5,602.0,1355.0,Medium
AEE6KWTJSN7EKGJ2TWFZCA6EGWJA,767,1,348.0,614.0,668.5,884.0,2166.5,VIP
AEEDBX6NJS6TW3AY6TG3DUN4TI5A,450,1,2089.0,235.5,668.5,379.0,1283.0,Medium
AEEETBDP73H6344UQ5FJSUBNR63A,945,1,250.0,792.5,668.5,951.0,2412.0,VIP
AEEFM3W6RGC2KDYG5B6N7VQXR4QA,1249,1,799.0,1042.5,668.5,659.0,2370.0,VIP
AEERA3TDMJGDMFA2NSPWSU5DUYNA,1223,1,2590.0,1020.5,668.5,329.0,2018.0,High
AEETOHX32FYDRI6SIAW7L76Q2NHQ,247,2,1398.0,14.0,162.0,513.5,689.5,Low
AEEV73PQDYYMSQSW46LQMZ526YVQ,853,1,1999.0,698.0,668.5,390.0,1756.5,High
AEEXKG5AG3K2ZV5EDWTS44RP245Q,849,1,449.0,693.5,668.5,809.5,2171.5,VIP
AEF55HUCR2L3DMBXVV4SGD55JKIQ,541,2,3888.0,340.5,162.0,237.0,739.5,Low
AEFANDDI6JRPXAGKHLQH2TV6A53A,1158,1,1099.0,965.5,668.5,580.0,2214.0,VIP
AEFJJHEDW3VJRIQANBUZTZNYCOPQ,368,1,2899.0,160.0,668.5,297.5,1126.0,Low
AEFXOSV5LSFQVAI3FYKVECIQ2YKA,508,1,1199.0,309.0,668.5,558.0,1535.5,Medium
AEG5JOZOUBWEAZOGQQR6YDVPTL6A,1014,1,89.0,847.0,668.5,1091.0,2606.5,VIP
AEGCEHUVRPOYDRJHI4UJVB2XY6FA,655,1,949.0,483.5,668.5,621.5,1773.5,High
AEGCMA54O4ML7L2XAVP4BCKXBHLQ,504,1,2790.0,302.0,668.5,306.0,1276.5,Medium
AEGLHOQOWUUUQEDV6EWXTSHIUE7A,784,1,449.0,633.5,668.5,809.5,2111.5,High
AEGPWBXEAWPF6XRT7EZJOYJQA6DQ,1197,3,1937.0,998.0,57.0,403.5,1458.5,Medium
AEGR6ZYWXPEZWM7JUEBWQHAOPS2A,244,2,549.0,12.0,162.0,761.5,935.5,Low
AEGT7WPGXXMSH5J3LZLL6CPJ7QMQ,420,2,2148.0,201.5,162.0,375.0,738.5,Low
AEGXNM3XGAHJGUJ7MIFPE7QFMJHA,1249,1,31999.0,1042.5,668.5,24.0,1735.0,Medium
AEGZCGGDNS4ZRNPG3CDULRVB5Z5A,622,1,134.0,439.0,668.5,1063.0,2170.5,VIP
AEGZSNGSJJAEMJ3RRNVZTKUILOHA,520,2,2464.0,321.5,162.0,341.5,825.0,Low
AEH3MURR76DG3TEX3NXIJVJTKBLA,557,1,1484.0,357.0,668.5,488.0,1513.5,Medium
AEH3VHBR2ECN647RYG3VNMASKBWA,1007,1,1235.0,842.0,668.5,548.0,2058.5,High
AEH463ZLT7U67XS3DWK2Y27GLVWQ,360,1,1799.0,149.0,668.5,424.5,1242.0,Medium
AEH6JRDO3GFF5AKVH7SZUP2UPNZA,607,1,449.0,419.0,668.5,809.5,1897.0,High
AEHBE4U3HD6G2TMSHKE7TNZYOWCA,1097,1,416.0,914.0,668.5,821.0,2403.5,VIP
AEHF7TORHRTMJOSTX2KYEILWRDEQ,272,1,1043.0,53.0,668.5,594.0,1315.5,Medium
AEHFMY2XIP7P3MZV6KHQVLCFKWBQ,687,1,1665.0,522.5,668.5,447.0,1638.0,Medium
AEHIRIOGHJKVTFYHFZVQ322CMZMA,471,1,499.0,270.0,668.5,783.5,1722.0,Medium
AEHKKIS4WKMVCADF6Y3HMR5IRM7Q,463,1,1199.0,258.0,668.5,558.0,1484.5,Medium
